State,Sales,Profit,% profit
California,457687.6315,76381.38709999999,16.68854079575449
New York,310876.271,74038.5486,23.816082315269405
Texas,170188.0458,-25729.3563,-15.118192455324614
Washington,138641.27,33402.6517,24.092863329944976
Pennsylvania,116511.914,-15559.9603,-13.354823353086449
Florida,89473.708,-3399.3017000000004,-3.79921853691366
Illinois,80166.101,-12607.887,-15.72720494414466
Ohio,78258.136,-16971.3766,-21.68640535982099
Michigan,76269.614,24463.1876,32.07461834014264
Virginia,70636.72,18597.9504,26.329011879373788
North Carolina,55603.164,-7490.9122,-13.472097019514933
Indiana,53555.36,18382.9363,34.325110129032836
Georgia,49095.84,16250.0433,33.09861548351144
Kentucky,36591.75,11199.6966,30.607163090040785
New Jersey,35764.312,9772.9138,27.325882292940516
Arizona,35282.001,-3427.9246,-9.715788512108483
Wisconsin,32114.61,8401.8004,26.161925678063657
Colorado,32108.118,-6527.8579,-20.33086430042396
Tennessee,30661.873,-5341.6936,-17.42128929958062
Minnesota,29863.15,10823.1874,36.24261807612392
Massachusetts,28634.434,6785.5016000000005,23.696999214302615
Delaware,27451.069,9977.3748,36.34603373733824
Maryland,23705.523,7031.1788,29.660509072084167
Rhode Island,22627.956,7285.6293000000005,32.19746980239842
Missouri,22205.15,6436.2105,28.985215141532482
Oklahoma,19683.39,4853.956,24.66016270571279
Alabama,19510.64,5786.8253,29.659843552031102
Oregon,17431.15,-1190.4705,-6.829558003918272
Nevada,16729.102,3316.7659,19.82632361258841
Connecticut,13384.357,3511.4918,26.23579003459038
Arkansas,11678.13,4008.6871,34.32644695683299
Utah,11220.056,2546.5335,22.696263726312953
Mississippi,10771.34,3172.9762,29.457580950930897
Louisiana,9217.03,2196.1023,23.82657211704855
Vermont,8929.369999999999,2244.9782999999998,25.141508303497336
South Carolina,8481.71,1769.0566,20.85731061307213
Nebraska,7464.93,2037.0942000000002,27.288858703296615
New Hampshire,7292.524,1706.5028,23.40071558214961
Montana,5589.352,1833.3285,32.8003765016052
New Mexico,4783.522,1157.1161,24.18962638825535
Iowa,4579.76,1183.8119,25.848775918388732
Idaho,4382.486,826.7231,18.864249651909898
Kansas,2914.31,836.4435,28.701253469946575
District of Columbia,2865.02,1059.5892999999999,36.9836615451201
Wyoming,1603.136,100.196,6.25
South Dakota,1315.56,394.8283,30.01218492505093
Maine,1270.53,454.4862,35.771386744114665
West Virginia,1209.824,185.9216,15.367656783135397
North Dakota,919.91,230.1497,25.01871922253264
